Model,Dataset,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,N
Baseline 1 — Majority,Dev 2K Test,0.39,0.035454545454545454,0.09090909090909091,0.051013734466971876,0.15209999999999999,0.39,0.21884892086330934,2000
Baseline 1 — Majority,Golden Set (200),0.34,0.03090909090909091,0.09090909090909091,0.04613297150610584,0.11560000000000001,0.34,0.17253731343283582,200
Baseline 1 — Majority,Audit Set (100),0.33,0.033,0.1,0.04962406015037594,0.10890000000000001,0.33,0.1637593984962406,100
Baseline 2 — TF-IDF + LR,Dev 2K Test,0.55,0.392171965471718,0.44970086470377546,0.41171900317149157,0.604742861363356,0.55,0.5651136588991009,2000
Baseline 2 — TF-IDF + LR,Golden Set (200),0.43,0.34166217027179596,0.3701976644606266,0.34479120982983036,0.44664073018484785,0.43,0.4270848224253882,200
Baseline 2 — TF-IDF + LR,Audit Set (100),0.33,0.033,0.1,0.04962406015037594,0.10890000000000001,0.33,0.1637593984962406,100
Semantic Transformer + LR,Dev 2K Test,0.466,0.3981107865105702,0.5334188546761988,0.4182498195962795,0.6132470906399994,0.466,0.49429887387553795,2000
Semantic Transformer + LR,Golden Set (200),0.455,0.4397568715694283,0.488640732281746,0.4414977616858808,0.5428430073075728,0.455,0.46289699425379033,200
Semantic Transformer + k-NN,Dev 2K Test,0.2745,0.08591688941574684,0.08765401429847743,0.0831072912806744,0.21801485604617202,0.2745,0.24046272389228632,2000
Semantic Transformer + k-NN,Golden Set (200),0.38,0.25223470223470223,0.20940293140944152,0.19787600246288625,0.32346492921492925,0.38,0.3128548980001913,200
Hybrid — TF-IDF + Transformer + LR,Dev 2K Test,0.5335,0.4116067827591451,0.4935223655943543,0.43490143921036856,0.6129524929473255,0.5335,0.5555222806175005,2000
Hybrid — TF-IDF + Transformer + LR,Golden Set (200),0.54,0.49117826617826615,0.51361375584812,0.48389189319006237,0.587757326007326,0.54,0.5468139961250583,200
